exchange,symbol,open,close,high,low,amount,volume,position,bob,eob,type,sequence
SHFE,AD8888,20306.35,20306.35,20306.35,20306.35,203150.0,1.0,18242.0,2025-09-20 00:01:00+08:00,2025-09-20 00:02:00+08:00,14,1
SHFE,AD8888,20306.35,20306.35,20306.35,20306.35,203150.0,1.0,18243.0,2025-09-20 00:05:00+08:00,2025-09-20 00:06:00+08:00,14,1
SHFE,AD8888,20306.35,20313.08,20313.08,20306.35,2234700.0,11.0,18246.0,2025-09-20 00:25:00+08:00,2025-09-20 00:26:00+08:00,14,2
SHFE,AD8888,20313.08,20313.08,20313.08,20313.08,406400.0,2.0,18245.0,2025-09-20 00:32:00+08:00,2025-09-20 00:33:00+08:00,14,1
SHFE,AD8888,20313.08,20313.08,20313.08,20313.08,1218000.0,6.0,18244.0,2025-09-20 00:37:00+08:00,2025-09-20 00:38:00+08:00,14,1
SHFE,AD8888,20313.08,20313.08,20313.08,20313.08,1624800.0,8.0,18242.0,2025-09-20 00:39:00+08:00,2025-09-20 00:40:00+08:00,14,1
SHFE,AD8888,20315.02,20311.14,20315.02,20311.14,2031250.0,10.0,18244.0,2025-09-20 00:40:00+08:00,2025-09-20 00:41:00+08:00,14,1
SHFE,AD8888,20311.04,20311.04,20311.04,20311.04,203200.0,1.0,18243.0,2025-09-20 00:50:00+08:00,2025-09-20 00:51:00+08:00,14,1
SHFE,AD8888,20311.04,20311.04,20311.04,20311.04,203200.0,1.0,18242.0,2025-09-20 00:51:00+08:00,2025-09-20 00:52:00+08:00,14,1
SHFE,AD8888,20305.36,20307.3,20307.3,20305.36,1015400.0,5.0,18243.0,2025-09-20 00:55:00+08:00,2025-09-20 00:56:00+08:00,14,2
SHFE,AD8888,20307.3,20300.57,20307.3,20300.57,4060650.0,20.0,18250.0,2025-09-20 00:58:00+08:00,2025-09-20 00:59:00+08:00,14,1
SHFE,AD8888,20297.73,20303.42,20303.42,20297.73,4872500.0,24.0,18244.0,2025-09-20 00:59:00+08:00,2025-09-20 01:00:00+08:00,14,2
